file,riga,descrizione
preview_engine.py,3,Importa il modulo 'tkinter'
preview_engine.py,4,Importa il simbolo 'ttk' da 'tkinter'
preview_engine.py,5,Importa il modulo 'webbrowser'
preview_engine.py,6,Importa il modulo 'tempfile'
preview_engine.py,7,Importa il simbolo 'StyledText' da 'ui_utils'
preview_engine.py,10,Avvia il blocco 'try'
preview_engine.py,11,Importa il simbolo 'HtmlFrame' da 'tkinterweb'
preview_engine.py,12,Gestisce l'eccezione 'ImportError'
preview_engine.py,13,Assegna valore alla variabile 'HtmlFrame'
preview_engine.py,16,Avvia il blocco 'try'
preview_engine.py,17,Importa il simbolo 'cefpython' da 'cefpython3'
preview_engine.py,18,Gestisce l'eccezione 'ImportError'
preview_engine.py,19,Assegna valore alla variabile 'cef'
preview_engine.py,21,Definisce la classe 'RendererBackend'
preview_engine.py,23,Definisce la funzione '__init__'
preview_engine.py,24,Valuta l'espressione 'self.parent_frame = parent_frame'
preview_engine.py,26,Definisce la funzione 'setup'
preview_engine.py,27,Definisce la funzione 'load'
preview_engine.py,28,Definisce la funzione 'dispose'
preview_engine.py,30,Definisce la classe 'TkWebRenderer'
preview_engine.py,32,Definisce la funzione '__init__'
preview_engine.py,33,Chiama la funzione 'super'
preview_engine.py,34,Valuta l'espressione 'self.html_frame = None'
preview_engine.py,36,Definisce la funzione 'setup'
preview_engine.py,37,Verifica il flag 'not'
preview_engine.py,38,Genera l'eccezione 'RuntimeError' con messaggio 'tkinterweb non disponibile'
preview_engine.py,39,Genera l'istanza 'HtmlFrame' e la assegna a 'self.html_frame'
preview_engine.py,40,Chiama il metodo 'pack' su 'self.html_frame' impostando 'fill'='both' e 'expand'=True
preview_engine.py,42,Definisce la funzione 'load'
preview_engine.py,43,Valuta l'espressione 'self.html_frame.load_html(html)'
preview_engine.py,45,Definisce la funzione 'dispose'
preview_engine.py,46,Verifica il flag 'self'
preview_engine.py,47,Valuta l'espressione 'self.html_frame.destroy()'
preview_engine.py,48,Valuta l'espressione 'self.html_frame = None'
preview_engine.py,50,Definisce la classe 'CefRenderer'
preview_engine.py,52,Assegna valore alla variabile '_initialized'
preview_engine.py,54,Definisce la funzione '__init__'
preview_engine.py,55,Chiama la funzione 'super'
preview_engine.py,56,Valuta l'espressione 'self.browser = None'
preview_engine.py,58,Definisce la funzione 'setup'
preview_engine.py,59,Verifica il flag 'not'
preview_engine.py,60,Genera l'eccezione 'RuntimeError' con messaggio 'cefpython3 non disponibile'
preview_engine.py,61,Verifica il flag 'not'
preview_engine.py,62,Chiama il metodo 'Initialize' su 'cef'
preview_engine.py,63,Valuta l'espressione 'CefRenderer._initialized = True'
preview_engine.py,65,Valuta l'espressione 'self.parent_frame.update_idletasks()'
preview_engine.py,66,Assegna valore alla variabile 'handle'
preview_engine.py,67,Assegna valore alla variabile 'width'
preview_engine.py,68,Assegna valore alla variabile 'height'
preview_engine.py,70,Assegna valore alla variabile 'window_info'
preview_engine.py,71,Chiama il metodo 'SetAsChild' su 'window_info'
preview_engine.py,72,Genera il browser CEF e lo assegna a 'self.browser'
preview_engine.py,73,Imposta il binding dell'evento '<Configure>' su 'self.parent_frame' al metodo '_on_configure'
preview_engine.py,75,Definisce la funzione '_on_configure'
preview_engine.py,76,Verifica il flag 'self'
preview_engine.py,77,"Valuta l'espressione 'self.browser.SetBounds(0, 0, event.width, event.height)'"
preview_engine.py,79,Definisce la funzione 'load'
preview_engine.py,80,Verifica il flag 'self'
preview_engine.py,81,Assegna valore alla variabile 'html_full'
preview_engine.py,82,Assegna valore alla variabile 'low'
preview_engine.py,83,Verifica il flag 'not'
preview_engine.py,84,Assegna valore alla variabile 'html_full'
preview_engine.py,85,Valuta l'espressione '<!DOCTYPE html>'
preview_engine.py,86,Valuta l'espressione '<html><head><meta charset='utf-8'></head><body>'
preview_engine.py,87,Valuta l'espressione 'html_full +'
preview_engine.py,88,Valuta l'espressione '</body></html>'
preview_engine.py,89,Valuta l'espressione ')'
preview_engine.py,90,Chiama il metodo 'LoadString' sul frame principale del browser con parametri 'html_full' e 'about:blank'
preview_engine.py,92,Definisce la funzione 'dispose'
preview_engine.py,93,Verifica il flag 'self'
preview_engine.py,94,Valuta l'espressione 'self.browser.CloseBrowser(True)'
preview_engine.py,95,Valuta l'espressione 'self.browser = None'
preview_engine.py,96,Verifica il flag 'CefRenderer'
preview_engine.py,97,Chiama il metodo 'Shutdown' su 'cef'
preview_engine.py,98,Valuta l'espressione 'CefRenderer._initialized = False'
preview_engine.py,100,Definisce la classe 'ExternalRenderer'
preview_engine.py,102,Definisce la funzione '__init__'
preview_engine.py,103,Chiama la funzione 'super'
preview_engine.py,104,Valuta l'espressione 'self.button = None'
preview_engine.py,105,Imposta l'attributo '_html' a stringa vuota
preview_engine.py,107,Definisce la funzione 'setup'
preview_engine.py,108,Valuta l'espressione 'self.button = ttk.Button('
preview_engine.py,109,"Valuta l'espressione 'self.parent_frame,'"
preview_engine.py,110,Assegna valore alla variabile 'text'
preview_engine.py,111,Assegna valore alla variabile 'command'
preview_engine.py,112,Valuta l'espressione ')'
preview_engine.py,113,"Valuta l'espressione 'self.button.pack(padx=10, pady=10)'"
preview_engine.py,115,Definisce la funzione 'load'
preview_engine.py,116,Valuta l'espressione 'self._html = html'
preview_engine.py,118,Definisce la funzione '_open_in_browser'
preview_engine.py,119,Avvia il blocco 'try'
preview_engine.py,120,Assegna valore alla variabile 'tmp'
preview_engine.py,121,Chiama il metodo 'write' su 'tmp'
preview_engine.py,122,Chiama il metodo 'close' su 'tmp'
preview_engine.py,123,Chiama il metodo 'open_new_tab' su 'webbrowser'
preview_engine.py,124,Gestisce l'eccezione 'Exception' come 'e'
preview_engine.py,125,Chiama la funzione 'show_error'
preview_engine.py,127,Definisce la funzione 'dispose'
preview_engine.py,128,Verifica il flag 'self'
preview_engine.py,129,Valuta l'espressione 'self.button.destroy()'
preview_engine.py,130,Valuta l'espressione 'self.button = None'
preview_engine.py,132,Definisce la classe 'PreviewEngine'
preview_engine.py,134,Valuta l'espressione 'Gestisce il container di anteprima in due tab'
preview_engine.py,135,Valuta l'espressione '(HTML Source & Web Preview) e instrada render().'
preview_engine.py,137,Definisce la funzione '__init__'
preview_engine.py,138,Valuta l'espressione 'self.parent = parent'
preview_engine.py,139,Valuta l'espressione 'self.container = None'
preview_engine.py,140,Valuta l'espressione 'self.source_text = None'
preview_engine.py,141,Valuta l'espressione 'self.renderer = None'
preview_engine.py,143,Definisce la funzione 'init_frame'
preview_engine.py,144,Avvia il blocco 'try'
preview_engine.py,145,"Valuta l'espressione 'self.parent.tk.call('set', 'tcl_platform(threaded)', '0')'"
preview_engine.py,146,Gestisce il blocco 'except'
preview_engine.py,147,Valuta l'espressione 'pass'
preview_engine.py,149,Assegna valore alla variabile 'nb'
preview_engine.py,151,Assegna valore alla variabile 'tab_src'
preview_engine.py,152,Genera il widget 'StyledText' e lo assegna a 'self.source_text'
preview_engine.py,153,Chiama il metodo 'pack' su 'self.source_text' impostando 'fill'='both' e 'expand'=True
preview_engine.py,154,Chiama il metodo 'config' su 'self.source_text' impostando 'state'='disabled'
preview_engine.py,155,Chiama il metodo 'add' su 'nb'
preview_engine.py,157,Assegna valore alla variabile 'tab_web'
preview_engine.py,158,Chiama il metodo 'add' su 'nb'
preview_engine.py,160,Assegna valore alla variabile 'backend'
preview_engine.py,161,Avvia il blocco 'try'
preview_engine.py,162,Verifica il flag 'backend'
preview_engine.py,163,Valuta l'espressione 'self.renderer = TkWebRenderer(tab_web)'
preview_engine.py,164,Verifica una condizione con 'elif'
preview_engine.py,165,Valuta l'espressione 'self.renderer = CefRenderer(tab_web)'
preview_engine.py,166,Gestisce il ramo 'else'
preview_engine.py,167,Valuta l'espressione 'self.renderer = ExternalRenderer(tab_web)'
preview_engine.py,168,Valuta l'espressione 'self.renderer.setup()'
preview_engine.py,169,Gestisce l'eccezione 'Exception' come 'e'
preview_engine.py,170,Assegna valore alla variabile 'msg'
preview_engine.py,171,Verifica una condizione con 'if'
preview_engine.py,172,Chiama la funzione 'show_error'
preview_engine.py,173,Valuta l'espressione 'self.renderer = ExternalRenderer(tab_web)'
preview_engine.py,174,Valuta l'espressione 'self.renderer.setup()'
preview_engine.py,176,Valuta l'espressione 'self.container = nb'
preview_engine.py,177,Restituisce il valore di 'nb'
preview_engine.py,179,Definisce la funzione 'render'
preview_engine.py,180,Assegna valore alla variabile 'low'
preview_engine.py,181,Assegna valore alla variabile 'html_full'
preview_engine.py,182,Verifica il flag 'not'
preview_engine.py,183,Assegna valore alla variabile 'html_full'
preview_engine.py,184,Valuta l'espressione '<!DOCTYPE html>'
preview_engine.py,185,Valuta l'espressione '<html><head><meta charset='utf-8'></head><body>'
preview_engine.py,186,Valuta l'espressione 'html_full +'
preview_engine.py,187,Valuta l'espressione '</body></html>'
preview_engine.py,188,Valuta l'espressione ')'
preview_engine.py,189,Verifica il flag 'self'
preview_engine.py,190,Chiama il metodo 'config' su 'self.source_text' impostando 'state'='normal'
preview_engine.py,191,Chiama il metodo 'delete' su 'self.source_text' con parametri '1.0' e 'end'
preview_engine.py,192,Chiama il metodo 'insert' su 'self.source_text' con parametri '1.0' e 'html_full'
preview_engine.py,193,Chiama il metodo 'config' su 'self.source_text' impostando 'state'='disabled'
